prompt_idx,cue_type,correct_ans,baseline_logit_diff,C1,C2,C5,C8,C10,C12,C13,C14,C16,C18,C19,C20,C24,C25,C27,C30,C32,C35,C37,C39,C40,C42,C44,C45,C46,C49,C50,C51,C53,C54
70,emitted_charge_minus1,beta,0.0625,-0.6875,-0.6875,-0.75,-0.75,-0.5,0.1875,0.25,0.25,-0.1875,-0.5,-0.4375,-0.625,-0.25,-0.1875,-0.5,-0.4375,0.0,1.0,-0.375,-0.375,-0.375,0.4375,0.375,0.0,0.0,0.1875,0.125,0.25,-0.1875,0.3125
71,emitted_charge_minus1,beta,-0.5625,-0.375,-0.4375,-0.3125,-0.3125,-0.25,0.3125,0.25,0.375,0.0625,-0.375,-0.25,-0.4375,-0.1875,-0.125,-0.1875,-0.125,0.25,0.625,-0.0625,-0.3125,-0.25,0.5,0.5,0.0625,0.0625,0.5,0.4375,0.625,-0.125,0.25
72,emitted_charge_minus1,beta,-0.1875,-0.4375,-0.3125,-0.75,-0.5625,-0.8125,0.25,0.1875,0.25,0.0,-0.75,-0.5,-0.6875,-0.3125,-0.25,-0.3125,-0.25,0.1875,0.5625,-0.1875,-0.1875,-0.3125,0.125,0.125,-0.25,-0.1875,0.4375,0.4375,0.375,-0.25,0.0
73,emitted_charge_minus1,beta,-0.25,-0.25,-0.1875,-0.8125,-0.75,-0.6875,0.125,0.0625,0.1875,-0.3125,-0.8125,-0.625,-0.9375,-0.25,-0.1875,-0.3125,-0.25,0.1875,0.5625,-0.25,-0.125,-0.375,0.25,0.25,0.0625,0.0625,0.3125,0.3125,0.3125,-0.1875,0.0625
74,daughter_z_plus1,beta,0.25,-0.0625,-0.1875,-0.3125,-0.5,-0.5,-0.25,-0.25,-0.25,-0.5,-1.0625,-0.9375,-1.25,-0.5,-0.5,-0.4375,-0.4375,0.0625,0.0,-0.125,-0.4375,-0.6875,0.3125,0.375,-0.25,-0.25,0.0625,0.1875,0.1875,-0.0625,0.0625
75,daughter_z_plus1,beta,0.1875,-0.125,-0.1875,-0.4375,-0.5625,-0.125,0.0,-0.0625,-0.0625,-0.125,-0.5625,-0.4375,-0.6875,-0.5,-0.375,-0.625,-0.5,-0.0625,0.125,-0.1875,-0.1875,-0.5625,0.375,0.375,-0.125,-0.125,0.4375,0.4375,0.4375,0.0,-0.0625
76,daughter_z_plus1,beta,-0.75,0.1875,0.1875,0.0,-0.1875,-0.4375,0.0625,0.0625,0.0625,0.125,-0.1875,-0.125,-0.5,-0.4375,-0.3125,-0.125,-0.125,0.3125,0.375,0.0625,-0.0625,-0.3125,0.5,0.5,0.0625,0.0625,0.4375,0.5,0.5625,0.25,0.1875
77,daughter_z_plus1,beta,-0.4375,0.0625,-0.125,-0.0625,-0.1875,-0.3125,0.0,-0.0625,0.0,-0.25,-0.6875,-0.5,-0.8125,-0.125,-0.125,0.0,0.125,0.5,0.25,0.0625,-0.125,-0.375,0.5,0.5,0.0,0.0,0.4375,0.5625,0.5625,0.1875,0.25
78,daughter_z_plus1,beta,-0.4375,0.375,0.3125,-0.0625,-0.25,-0.5,0.0625,-0.0625,0.0,-0.25,-0.9375,-0.8125,-1.0625,-0.4375,-0.4375,-0.3125,-0.25,0.3125,0.3125,0.0,-0.25,-0.3125,0.5,0.4375,-0.125,-0.125,0.125,0.1875,0.25,0.1875,0.3125
79,daughter_z_plus1,beta,0.125,-0.125,-0.25,-0.5625,-0.5625,-0.1875,0.0,-0.0625,0.0,0.0625,-0.4375,-0.25,-0.5,-0.1875,0.0,-0.3125,-0.25,0.25,0.5625,-0.125,-0.1875,-0.25,0.375,0.3125,-0.375,-0.375,-0.0625,-0.0625,0.0,-0.25,0.375
